"drug","mu","lb","ub","k"
"Cetuximab",-0.203312620520591,-0.203312620520591,-0.203312620520591,0
"Erlotinib",0.0804135277867317,0.0804135277867317,0.0804135277867317,0
"Paclitaxel",0.0424744971096515,0.0424744971096515,0.0424744971096515,0
"Tamoxifen",-0.0384339988231658,-0.0384339988231658,-0.0384339988231658,0
"Trametinib",-0.272084057331085,-0.272084057331085,-0.272084057331085,0
"Cetuximab",-0.0722663431428373,-0.134711520283509,-0.0122649656414537,1
"Erlotinib",0.285523409862071,0.218011518460186,0.356245395853308,1
"Paclitaxel",0.00868443178478628,-0.0343221797667057,0.0482951579742035,1
"Tamoxifen",-0.123697518277913,-0.170213942507186,-0.0728123657017528,1
"Trametinib",-0.179891764753847,-0.218941284612339,-0.140986183893201,1
"Cetuximab",0.122260771412402,0.0869535765804336,0.167501379891707,2
"Erlotinib",0.206492636166513,0.135878038438815,0.279119574908632,2
"Paclitaxel",-0.110822083242238,-0.166243146071051,-0.0591888105389067,2
"Tamoxifen",-0.140255043469369,-0.205083460950648,-0.0773475314951545,2
"Trametinib",-0.00124526952859014,-0.0744176859586756,0.0757143453118097,2
"Cetuximab",0.0459149186383001,-0.0134672424473229,0.121004251501802,3
"Erlotinib",0.21163874915801,0.157637949305986,0.259954589730655,3
"Paclitaxel",-0.0790465745842084,-0.146807101157099,-0.0106322539846573,3
"Tamoxifen",-0.207304567098618,-0.255165027159919,-0.160246591181863,3
"Trametinib",0.0667995199561119,-0.00193938178943159,0.148119647306528,3
"Cetuximab",0.109499677293934,0.0588600869464582,0.164840976318738,4
"Erlotinib",0.197951286449097,0.110553340997428,0.282969778741883,4
"Paclitaxel",-0.136083241784945,-0.199264448731132,-0.079314575330156,4
"Tamoxifen",-0.14423194648698,-0.186952132510074,-0.102324935210244,4
"Trametinib",0.0280721688381163,-0.0480298669685286,0.102894531300378,4
"Cetuximab",0.0863684823736548,0.0227660710940304,0.155330526100727,5
"Erlotinib",0.288248186185956,0.205653394352356,0.379533705687865,5
"Paclitaxel",-0.0710025732638314,-0.144455108361556,-0.0025362741563241,5
"Tamoxifen",-0.125763382855803,-0.189573365087157,-0.0709250826281121,5
"Trametinib",0.0693662151694298,-0.00543343050705286,0.151946538324496,5
"Cetuximab",0.0998871552757919,0.0446563292820255,0.154676339251393,6
"Erlotinib",0.168205497507006,0.0857238933742631,0.253934170782893,6
"Paclitaxel",-0.0936013998929411,-0.180087080679328,-0.00921704023239742,6
"Tamoxifen",-0.14205823787488,-0.226141873578829,-0.0568784548606607,6
"Trametinib",0.0102553988806903,-0.077405400399404,0.0969354709028417,6
"Cetuximab",0.0809354140656069,0.0385087409471855,0.134121504347457,7
"Erlotinib",0.245253667002544,0.165887708938263,0.322757655193398,7
"Paclitaxel",-0.101327360747382,-0.15458478748007,-0.0472086382539844,7
"Tamoxifen",-0.1664749417454,-0.21095466488191,-0.113134672682968,7
"Trametinib",0.04396335571073,-0.0227571496880528,0.117663347272299,7
"Cetuximab",0.0957546102348715,0.034912749678016,0.163284492066398,8
"Erlotinib",0.234503449127078,0.138509365487679,0.343639991500006,8
"Paclitaxel",-0.0990502956090495,-0.164414147309794,-0.0329635175727288,8
"Tamoxifen",-0.101716995169409,-0.168268801524563,-0.0384615784867677,8
"Trametinib",0.0417516008485109,-0.049553274870452,0.144791039260589,8
"Cetuximab",0.0860689254244789,0.0239754740912149,0.150637614600036,9
"Erlotinib",0.118079512589611,-0.0372279121659055,0.275926680750044,9
"Paclitaxel",-0.144333668099716,-0.230493832894216,-0.0685555942365453,9
"Tamoxifen",-0.155151055101305,-0.235934041763089,-0.0675900471106647,9
"Trametinib",0.043265145085752,-0.0366985598669421,0.131342296665979,9
"Cetuximab",0.147472837776877,0.100148155648549,0.198479197211382,10
"Erlotinib",0.146928245868185,0.0343020832921067,0.272627601906555,10
"Paclitaxel",-0.140968023985624,-0.188807111185342,-0.0926009827772804,10
"Tamoxifen",-0.168731878418475,-0.237684819943096,-0.100352508431147,10
"Trametinib",0.0757126424461603,0.00513368510151357,0.153078764822644,10
