"","id","time","status","deltaV","class","actual.outcome"
"1","X.1027.ceab",24,1,0.623710036277771,"PD","Progressive"
"2","X.1119.ceab",31,1,0.161602020263672,"SD","Progressive"
"3","X.1156.ceab",24,1,0.88251119852066,"PD","Progressive"
"4","X.1167.ceab",27,1,0.584376692771912,"PD","Progressive"
"5","X.1172.ceab",20,1,0.656784117221832,"PD","Progressive"
"6","X.1173.ceab",19,1,0.439052283763885,"PD","Progressive"
"7","X.1270.ceab",38,1,0.644755363464355,"PD","Progressive"
"8","X.1290.ceab",76,1,0.562748849391937,"PD","Stable"
"9","X.1303.ceab",92,1,0.799782395362854,"PD","Stable"
"10","X.1323.ceab",22,1,0.223135471343994,"SD","Stable"
"11","X.1329.ceab",25,1,0.577301621437073,"PD","Progressive"
"12","X.1441.ceab",86,1,0.447038173675537,"PD","Stable"
"13","X.1442.ceab",21,1,0.873557686805725,"PD","Progressive"
"14","X.1443.ceab",83,1,0.583120286464691,"PD","Stable"
"15","X.1479.ceab",46,1,0.340694963932037,"PD","Stable"
"16","X.1499.ceab",15,1,0.858892321586609,"PD","Progressive"
"17","X.1500.ceab",123,1,0.535332262516022,"PD","Stable"
"18","X.1536.ceab",42,1,0.0220627784729004,"SD","Stable"
"19","X.1538.ceab",17,1,0.401677131652832,"PD","Stable"
"20","X.1586.ceab",31,1,0.678911089897156,"PD","Stable"
"21","X.1658.ceab",21,1,0.302813649177551,"PD","Progressive"
"22","X.1683.ceab",128,1,0.287992477416992,"SD","Stable"
"23","X.1725.ceab",36,1,-0.12820291519165,"SD","Stable"
"24","X.1787.ceab",12,1,0.0128403306007385,"SD","Progressive"
"25","X.1823.ceab",29,1,0.527083396911621,"PD","Progressive"
"26","X.1834.ceab",69,1,0.23358017206192,"SD","Progressive"
"27","X.1835.ceab",42,1,0.012840747833252,"SD","Stable"
"28","X.1855.ceab",57,1,0.324064612388611,"PD","Stable"
"29","X.1934.ceab",11,1,0.594184875488281,"PD","Progressive"
"30","X.1980.ceab",50,1,-0.123223662376404,"SD","Stable"
"31","X.1993.ceab",53,1,0.332523763179779,"PD","Stable"
"32","X.2017.ceab",26,1,0.318699359893799,"PD","Progressive"
"33","X.2042.ceab",42,1,0.796262621879578,"PD","Progressive"
"34","X.2082.ceab",47,1,0.412693917751312,"PD","Stable"
"35","X.2088.ceab",11,1,0.818265020847321,"PD","Progressive"
"36","X.2094.ceab",31,1,0.105554103851318,"SD","Progressive"
"37","X.2145.ceab",36,1,0.246935188770294,"SD","Progressive"
"38","X.2182.ceab",27,1,0.818642675876617,"PD","Progressive"
"39","X.2239.ceab",28,1,0.694326043128967,"PD","Stable"
"40","X.2374.ceab",91,1,0.526706576347351,"PD","Stable"
"41","X.2403.ceab",54,1,0.596050262451172,"PD","Stable"
"42","X.2483.ceab",45,1,0.471940934658051,"PD","Progressive"
"43","X.2484.ceab",29,1,0.8512042760849,"PD","Stable"
"44","X.2538.ceab",39,1,0.414456844329834,"PD","Stable"
"45","X.2573.ceab",28,1,0.615591049194336,"PD","Stable"
"46","X.2659.ceab",22,1,0.619110822677612,"PD","Progressive"
"47","X.2822.ceab",63,1,0.62952995300293,"PD","Progressive"
"48","X.2846.ceab",105,1,0.856108069419861,"PD","Stable"
"49","X.2861.ceab",20,1,0.51681524515152,"PD","Progressive"
"50","X.3029.ceab",67,1,0.632641673088074,"PD","Stable"
"51","X.3093.ceab",32,1,0.589160323143005,"PD","Progressive"
"52","X.3205.ceab",22,1,0.564822793006897,"PD","Progressive"
"53","X.3224.ceab",24,1,0.417415797710419,"PD","Stable"
"54","X.3237.ceab",30,1,-0.0735409259796143,"SD","Stable"
"55","X.3267.ceab",89,1,0.665133357048035,"PD","Stable"
"56","X.3671.ceab",108,1,0.832998275756836,"PD","Stable"
"57","X.3792.ceab",14,1,0.537994980812073,"PD","Progressive"
"58","X.3843.ceab",20,1,0.772371649742126,"PD","Progressive"
"59","X.4087.ceab",21,1,0.6639484167099,"PD","Progressive"
"60","X.5254.ceab",31,1,0.797138094902039,"PD","Stable"
"61","X.5405.ceab",28,1,0.469799995422363,"PD","Progressive"
"62","X.5438.ceab",75,1,0.112005829811096,"SD","Stable"
"63","X.5446.ceab",42,1,0.707570672035217,"PD","Progressive"
"64","X.5495.ceab",32,1,0.607540607452393,"PD","Progressive"
"65","X.5578.ceab",33,1,0.524970769882202,"PD","Stable"
