"","id","time","status","deltaV","class","actual.outcome"
"1","X.1004.pael",62,1,0.492015063762665,"PD","Stable"
"2","X.1008.pael",90,1,0.66890960931778,"PD","Stable"
"3","X.1156.pael",31,1,0.569500982761383,"PD","Progressive"
"4","X.1172.pael",20,1,0.674777507781982,"PD","Stable"
"5","X.1298.pael",28,1,0.413290023803711,"PD","Stable"
"6","X.1323.pael",15,1,0.628456652164459,"PD","Progressive"
"7","X.1371.pael",34,1,0.425215840339661,"PD","Stable"
"8","X.1383.pael",83,1,0.448224484920502,"PD","Stable"
"9","X.1407.pael",48,1,0.418368101119995,"PD","Progressive"
"10","X.1442.pael",10,1,0.520818471908569,"PD","Progressive"
"11","X.1468.pael",91,1,0.375475466251373,"PD","Stable"
"12","X.1499.pael",11,1,0.121955990791321,"SD","Progressive"
"13","X.1586.pael",34,1,0.756400942802429,"PD","Stable"
"14","X.1600.pael",21,1,0.369604229927063,"PD","Progressive"
"15","X.1631.pael",55,1,0.680499494075775,"PD","Stable"
"16","X.1658.pael",105,1,0.641339540481567,"PD","Stable"
"17","X.1683.pael",119,1,0.67213100194931,"PD","Stable"
"18","X.1725.pael",74,1,0.544301509857178,"PD","Stable"
"19","X.1787.pael",92,1,0.638941586017609,"PD","Progressive"
"20","X.1823.pael",18,1,0.704160094261169,"PD","Progressive"
"21","X.1828.pael",49,1,0.688925623893738,"PD","Stable"
"22","X.1832.pael",49,1,0.0112687945365906,"SD","Stable"
"23","X.1834.pael",45,1,0.77357679605484,"PD","Stable"
"24","X.1835.pael",53,1,0.812813282012939,"PD","Progressive"
"25","X.1916.pael",28,1,0.371389508247375,"PD","Progressive"
"26","X.1921.pael",34,1,0.536081671714783,"PD","Progressive"
"27","X.1934.pael",19,1,0.481199473142624,"PD","Progressive"
"28","X.1980.pael",29,1,0.705483436584473,"PD","Progressive"
"29","X.1993.pael",12,1,0.766888737678528,"PD","Progressive"
"30","X.2017.pael",47,1,0.839836657047272,"PD","Stable"
"31","X.2042.pael",25,1,0.651918768882751,"PD","Progressive"
"32","X.2082.pael",26,1,0.817304611206055,"PD","Progressive"
"33","X.2094.pael",61,1,0.786344766616821,"PD","Stable"
"34","X.2195.pael",28,1,0.303128838539124,"PD","Progressive"
"35","X.2344.pael",24,1,0.340447843074799,"PD","Progressive"
"36","X.2353.pael",91,1,0.524651408195496,"PD","Stable"
"37","X.2487.pael",55,1,0.511262834072113,"PD","Stable"
"38","X.2524.pael",49,1,0.281052350997925,"SD","Stable"
"39","X.2640.pael",76,1,0.426629543304443,"PD","Stable"
"40","X.2780.pael",35,1,0.724159598350525,"PD","Stable"
"41","X.3029.pael",88,1,0.793008089065552,"PD","Stable"
"42","X.3077.pael",41,1,0.608034610748291,"PD","Stable"
"43","X.3078.pael",94,1,0.734315872192383,"PD","Stable"
"44","X.3201.pael",105,1,0.438137412071228,"PD","Stable"
"45","X.3237.pael",27,1,0.770726561546326,"PD","Stable"
"46","X.3298.pael",90,1,0.45192414522171,"PD","Stable"
"47","X.3450.pael",63,1,0.614231467247009,"PD","Progressive"
"48","X.3468.pael",154,1,0.486587762832642,"PD","Stable"
"49","X.3697.pael",51,1,0.573869466781616,"PD","Stable"
"50","X.3843.pael",54,1,0.66370040178299,"PD","Stable"
"51","X.3873.pael",70,1,0.493440002202988,"PD","Stable"
"52","X.4347.pael",62,1,0.513094127178192,"PD","Progressive"
"53","X.4567.pael",97,1,0.459654271602631,"PD","Stable"
"54","X.4819.pael",11,1,0.375223577022552,"PD","Progressive"
"55","X.4824.pael",35,1,0.479262590408325,"PD","Progressive"
"56","X.4888.pael",104,1,0.484624087810516,"PD","Stable"
"57","X.4949.pael",41,1,0.397704839706421,"PD","Progressive"
"58","X.5249.pael",48,1,0.441423535346985,"PD","Stable"
"59","X.5355.pael",97,1,0.813921868801117,"PD","Stable"
"60","X.5502.pael",41,1,0.421906173229218,"PD","Stable"
"61","X.5975.pael",89,1,0.462980091571808,"PD","Stable"
"62","X.6047.pael",31,1,0.40522164106369,"PD","Stable"
