"","id","time","status","deltaV","class","actual.outcome"
"1","X.1004.taen",27,1,0.676780104637146,"PD","Progressive"
"2","X.1008.taen",45,1,0.682209849357605,"PD","Progressive"
"3","X.1298.taen",32,1,0.69892692565918,"PD","Stable"
"4","X.1371.taen",29,1,0.557270765304565,"PD","Progressive"
"5","X.1383.taen",38,1,0.617600381374359,"PD","Progressive"
"6","X.1407.taen",28,1,0.572235763072968,"PD","Progressive"
"7","X.1468.taen",28,1,0.0240206718444824,"SD","Progressive"
"8","X.1600.taen",26,1,0.195363223552704,"SD","Stable"
"9","X.1631.taen",13,1,0.492406904697418,"PD","Progressive"
"10","X.1828.taen",74,1,0.456967651844025,"PD","Stable"
"11","X.1832.taen",19,1,0.106139838695526,"SD","Progressive"
"12","X.1916.taen",19,1,0.541585862636566,"PD","Progressive"
"13","X.1921.taen",66,1,0.48696705698967,"PD","Stable"
"14","X.2195.taen",31,1,0.650120854377747,"PD","Stable"
"15","X.2344.taen",18,1,0.346393227577209,"PD","Progressive"
"16","X.2353.taen",56,1,0.381273090839386,"PD","Progressive"
"17","X.2487.taen",60,1,0.525884389877319,"PD","Stable"
"18","X.2524.taen",21,1,0.363176107406616,"PD","Progressive"
"19","X.2640.taen",31,1,0.441129982471466,"PD","Progressive"
"20","X.2780.taen",41,1,0.52053827047348,"PD","Stable"
"21","X.3077.taen",46,1,0.514324843883514,"PD","Stable"
"22","X.3078.taen",46,1,0.656255841255188,"PD","Stable"
"23","X.3201.taen",21,1,0.483369648456573,"PD","Progressive"
"24","X.3298.taen",25,1,0.376967310905457,"PD","Progressive"
"25","X.3450.taen",74,1,0.535547375679016,"PD","Stable"
"26","X.3468.taen",53,1,0.54426896572113,"PD","Stable"
"27","X.3697.taen",41,1,0.616988658905029,"PD","Stable"
"28","X.3873.taen",49,1,0.711573719978333,"PD","Progressive"
"29","X.4347.taen",49,1,0.790245354175568,"PD","Progressive"
"30","X.4567.taen",32,1,0.535728693008423,"PD","Progressive"
"31","X.4824.taen",34,1,0.508362531661987,"PD","Progressive"
"32","X.4888.taen",42,1,0.373601615428925,"PD","Progressive"
"33","X.4949.taen",22,1,0.655340313911438,"PD","Progressive"
"34","X.5249.taen",34,1,0.39527553319931,"PD","Progressive"
"35","X.5355.taen",21,1,0.673770129680634,"PD","Progressive"
"36","X.5502.taen",67,1,0.620956420898438,"PD","Stable"
"37","X.5975.taen",33,1,0.747565686702728,"PD","Stable"
"38","X.6047.taen",31,1,0.571076631546021,"PD","Progressive"
