"","id","time","status","deltaV","class","actual.outcome"
"1","X.1199.trib",98,1,0.517316341400146,"PD","Stable"
"2","X.1289.trib",87,1,0.425422132015228,"PD","Stable"
"3","X.1362.trib",23,1,0.784492313861847,"PD","Stable"
"4","X.1948.trib",98,1,0.269803404808044,"SD","Stable"
"5","X.2026.trib",52,1,0.401503443717957,"PD","Stable"
"6","X.2081.trib",30,1,0.403890371322632,"PD","Progressive"
"7","X.2283.trib",39,1,0.30476313829422,"PD","Stable"
"8","X.2339.trib",91,1,0.200042247772217,"SD","Stable"
"9","X.2428.trib",61,1,0.379410564899445,"PD","Stable"
"10","X.2470.trib",81,1,0.467851161956787,"PD","Stable"
"11","X.2564.trib",74,1,0.334282875061035,"PD","Stable"
"12","X.2633.trib",90,1,0.593914031982422,"PD","Stable"
"13","X.2684.trib",33,1,0.574653565883636,"PD","Stable"
"14","X.2997.trib",33,1,0.563335478305817,"PD","Progressive"
"15","X.3028.trib",33,1,0.598472595214844,"PD","Stable"
"16","X.3038.trib",29,1,0.456989705562592,"PD","Stable"
"17","X.3052.trib",27,1,0.594171047210693,"PD","Progressive"
"18","X.3268.trib",111,1,0.527261734008789,"PD","Stable"
"19","X.3782.trib",51,1,0.573089838027954,"PD","Stable"
"20","X.3800.trib",91,1,0.0976272225379944,"SD","Stable"
"21","X.3816.trib",47,1,0.23361599445343,"SD","Stable"
"22","X.3846.trib",47,1,0.772225022315979,"PD","Stable"
"23","X.3898.trib",61,1,0.39167720079422,"PD","Stable"
"24","X.3947.trib",41,1,0.54133677482605,"PD","Progressive"
"25","X.3990.trib",92,1,0.503964722156525,"PD","Stable"
"26","X.4018.trib",51,1,0.0735510587692261,"SD","Stable"
"27","X.4145.trib",39,1,0.511545538902283,"PD","Progressive"
"28","X.4215.trib",40,1,0.466781973838806,"PD","Stable"
"29","X.4226.trib",48,1,0.748910188674927,"PD","Stable"
"30","X.4316.trib",91,1,0.299517571926117,"SD","Stable"
"31","X.4377.trib",52,1,0.215630531311035,"SD","Stable"
"32","X.4378.trib",41,1,0.19945228099823,"SD","Progressive"
"33","X.4649.trib",57,1,0.534897208213806,"PD","Stable"
"34","X.4676.trib",91,1,0.57433670759201,"PD","Stable"
"35","X.4927.trib",18,1,0.577446937561035,"PD","Progressive"
"36","X.5205.trib",14,1,0.869896411895752,"PD","Progressive"
