,0
0,AAK1_expression
1,AATK_expression
2,ABCA1_expression
3,ABL1_expression
4,ABL2_expression
5,ACOX1_expression
6,ACSL5_expression
7,ACVR1_expression
8,ACVR1B_expression
9,ACVR1C_expression
10,ACVR2B_expression
11,ACVRL1_expression
12,ADAM17_expression
13,ADAM29_expression
14,ADAMTS18_expression
15,ADAMTSL3_expression
16,ADCK1_expression
17,ADCK2_expression
18,ADCK5_expression
19,ADORA1_expression
20,AIFM1_expression
21,AIFM2_expression
22,AIMP2_expression
23,AIP_expression
24,AKT1_expression
25,AKT2_expression
26,AKT3_expression
27,ALK_expression
28,ALPK1_expression
29,ALPK2_expression
30,ALPK3_expression
31,AMHR2_expression
32,ANGPTL4_expression
33,ANGPTL7_expression
34,ANK1_expression
35,ANK2_expression
36,ANKRD29_expression
37,APAF1_expression
38,APC2_expression
39,APPL1_expression
40,ARAF_expression
41,ARFRP1_expression
42,ARIH2_expression
43,ARL13B_expression
44,ARL6_expression
45,ARNT_expression
46,ARPC5_expression
47,ASAP1_expression
48,ASCC1_expression
49,ASPSCR1_expression
50,ATAD1_expression
51,ATF1_expression
52,ATIC_expression
53,ATM_expression
54,ATP8B1_expression
55,ATR_expression
56,ATRX_expression
57,AURKA_expression
58,AURKB_expression
59,AURKC_expression
60,AUTS2_expression
61,AXIN1_expression
62,AXIN2_expression
63,B9D1_expression
64,BAD_expression
65,BAG2_expression
66,BAIAP2_expression
67,BARD1_expression
68,BAX_expression
69,BBC3_expression
70,BBS2_expression
71,BBS4_expression
72,BBS7_expression
73,BBS9_expression
74,BCKDK_expression
75,BCL2_expression
76,BCL2L1_expression
77,BCL2L11_expression
78,BCL2L14_expression
79,BCL6_expression
80,BCL9_expression
81,BCR_expression
82,BDNF_expression
83,BID_expression
84,BIRC5_expression
85,BLK_expression
86,BMP1_expression
87,BMP4_expression
88,BMPR2_expression
89,BMX_expression
90,BNIP3L_expression
91,BOC_expression
92,BRAF_expression
93,BRCA1_expression
94,BRCA2_expression
95,BRIP1_expression
96,BRSK1_expression
97,BRSK2_expression
98,BTK_expression
99,BTRC_expression
100,BUB1_expression
101,BUB3_expression
102,CA9_expression
103,CAB39_expression
104,CAD_expression
105,CAMK1_expression
106,CAMK1D_expression
107,CAMK1G_expression
108,CAMK2A_expression
109,CAMK2B_expression
110,CAMK2D_expression
111,CAMK2G_expression
112,CAMK4_expression
113,CAMKK1_expression
114,CAMKK2_expression
115,CAMKV_expression
116,CAMP_expression
117,CAPG_expression
118,CASP1_expression
119,CASP10_expression
120,CASP2_expression
121,CASP3_expression
122,CASP4_expression
123,CASP5_expression
124,CASP6_expression
125,CASP7_expression
126,CASP8_expression
127,CASP9_expression
128,CBL_expression
129,CCBE1_expression
130,CCL5_expression
131,CCNA1_expression
132,CCNA2_expression
133,CCNB1_expression
134,CCND1_expression
135,CCND2_expression
136,CCND3_expression
137,CCNE1_expression
138,CCNH_expression
139,CCR1_expression
140,CCR7_expression
141,CD109_expression
142,CD248_expression
143,CD47_expression
144,CD82_expression
145,CDC14A_expression
146,CDC14B_expression
147,CDC20_expression
148,CDC25A_expression
149,CDC25B_expression
150,CDC25C_expression
151,CDC42_expression
152,CDC42BPA_expression
153,CDC42BPB_expression
154,CDC42BPG_expression
155,CDC45_expression
156,CDC6_expression
157,CDC7_expression
158,CDCA8_expression
159,CDH1_expression
160,CDH3_expression
161,CDK1_expression
162,CDK10_expression
163,CDK12_expression
164,CDK13_expression
165,CDK14_expression
166,CDK15_expression
167,CDK16_expression
168,CDK17_expression
169,CDK18_expression
170,CDK19_expression
171,CDK2_expression
172,CDK20_expression
173,CDK4_expression
174,CDK5_expression
175,CDK6_expression
176,CDK7_expression
177,CDK8_expression
178,CDK9_expression
179,CDKL1_expression
180,CDKL2_expression
181,CDKL5_expression
182,CDKN1A_expression
183,CDKN1B_expression
184,CDKN1C_expression
185,CDKN2A_expression
186,CDKN2B_expression
187,CDKN2C_expression
188,CDKN2D_expression
189,CDON_expression
190,CDT1_expression
191,CELA1_expression
192,CENPA_expression
193,CENPE_expression
194,CEP290_expression
195,CER1_expression
196,CFHR5_expression
197,CFL1_expression
198,CFL2_expression
199,CFLAR_expression
200,CHD5_expression
201,CHEK1_expression
202,CHEK2_expression
203,CHIC2_expression
204,CHL1_expression
205,CHUK_expression
206,CIB2_expression
207,CIT_expression
208,CITED1_expression
209,CLDN1_expression
210,CLIP1_expression
211,CLSPN_expression
212,CLSTN1_expression
213,CLTC_expression
214,CLUAP1_expression
215,CNTN1_expression
216,CNTN4_expression
217,CNTN6_expression
218,CREB1_expression
219,CREB3L2_expression
220,CREBBP_expression
221,CRK_expression
222,CSF1R_expression
223,CSF2RB_expression
224,CSK_expression
225,CSMD3_expression
226,CSNK1A1_expression
227,CSNK1D_expression
228,CSNK1E_expression
229,CSNK1G1_expression
230,CSNK1G2_expression
231,CSNK1G3_expression
232,CSNK2A1_expression
233,CSNK2A2_expression
234,CTNNA1_expression
235,CTNNB1_expression
236,CTNNBIP1_expression
237,CUL1_expression
238,CUL2_expression
239,CXCL12_expression
240,CXCR4_expression
241,CXXC4_expression
242,CYLD_expression
243,CYS1_expression
244,DAAM1_expression
245,DAPK1_expression
246,DAPK2_expression
247,DAPK3_expression
248,DBF4_expression
249,DCC_expression
250,DCLK1_expression
251,DCLK2_expression
252,DCLK3_expression
253,DDB2_expression
254,DDIT3_expression
255,DDIT4_expression
256,DDR1_expression
257,DDR2_expression
258,DFFA_expression
259,DGKA_expression
260,DIP2C_expression
261,DLK1_expression
262,DNAH11_expression
263,DNAH5_expression
264,DNAH9_expression
265,DPP4_expression
266,DSCAML1_expression
267,DSTYK_expression
268,DUSP1_expression
269,DVL1_expression
270,E2F1_expression
271,E2F2_expression
272,E2F3_expression
273,E2F4_expression
274,E2F5_expression
275,E2F6_expression
276,E2F7_expression
277,E2F8_expression
278,E4F1_expression
279,EEF2K_expression
280,EFNB1_expression
281,EFNB2_expression
282,EGF_expression
283,EGFL6_expression
284,EGFR_expression
285,EGLN1_expression
286,EGLN3_expression
287,EGR1_expression
288,EIF2AK1_expression
289,EIF2AK2_expression
290,EIF2AK3_expression
291,EIF2AK4_expression
292,EIF3J_expression
293,EIF4A2_expression
294,EIF4B_expression
