,0
0,ABCA1_expression
1,ABL1_expression
2,ABL2_expression
3,ADAMTSL3_expression
4,ADORA1_expression
5,AIP_expression
6,AKT1_expression
7,AKT3_expression
8,ARAF_expression
9,ARNT_expression
10,ARPC5_expression
11,ASCC1_expression
12,ATF1_expression
13,ATIC_expression
14,ATM_expression
15,ATM1_mutation
16,AURKA_expression
17,AXIN1_expression
18,AXIN2_expression
19,B9D1_expression
20,BAIAP2_expression
21,BARD1_expression
22,BBC3_expression
23,BCL2_expression
24,BCL2L11_expression
25,BCL6_expression
26,BDNF_expression
27,BID_expression
28,BIRC5_expression
29,BLK_expression
30,BMPR2_expression
31,BMPR21_mutation
32,BRAF_expression
33,BRAF1_mutation
34,BRCA1_expression
35,BTK_expression
36,BTRC_expression
37,CAD_expression
38,CAMK2D_expression
39,CAMKK2_expression
40,CASP1_expression
41,CASP2_expression
42,CASP3_expression
43,CASP4_expression
44,CASP7_expression
45,CASP9_expression
46,CBL_expression
47,CCL5_expression
48,CCNA1_expression
49,CCNA2_expression
50,CCNB1_expression
51,CCND1_expression
52,CCNE1_expression
53,CCNH_expression
54,CD109_expression
55,CD82_expression
56,CDC14B_expression
57,CDC25A_expression
58,CDC25B_expression
59,CDC25C_expression
60,CDC42_expression
61,CDC6_expression
62,CDH1_expression
63,CDH3_expression
64,CDK1_expression
65,CDK13_expression
66,CDK14_expression
67,CDK2_expression
68,CDK4_expression
69,CDK6_expression
70,CDK7_expression
71,CDK8_expression
72,CDK9_expression
73,CDKN1A_expression
74,CDKN1B_expression
75,CDKN2C_expression
76,CDT1_expression
77,CFL1_expression
78,CFLAR_expression
79,CHUK_expression
80,CITED1_expression
81,CLIP1_expression
82,CLTC_expression
83,CREBBP_expression
84,CREBBP1_mutation
85,CRK_expression
86,CSK_expression
87,CTNNA1_expression
88,CTNNB1_expression
89,CTNNB11_mutation
90,CXCL12_expression
91,CYLD_expression
92,DUSP1_expression
93,DVL1_expression
94,E2F1_expression
95,EFNB1_expression
96,EFNB2_expression
97,EGF_expression
98,EGFR_expression
99,EIF2AK2_expression
100,EIF4B_expression
101,ELF3_expression
102,ELF31_mutation
103,ELF4_expression
104,ELK3_expression
105,EP300_expression
106,EPAS1_expression
107,EPHA2_expression
108,EPHA7_expression
109,EPS8_expression
110,ERBB2_expression
111,ERBB3_expression
112,ERCC1_expression
113,ERCC2_expression
114,EREG_expression
115,EWSR1_expression
116,EXOC4_expression
117,EYA4_expression
118,EZH2_expression
119,FAM20C_expression
120,FARP1_expression
121,FAS_expression
